"Data","GJGB10 Index"
2018-11-29,3.25264014563111e-06
2018-11-30,3.64912197300086e-06
2018-12-03,3.41123761144742e-06
2018-12-04,2.93542627283623e-06
2018-12-05,2.61818714073974e-06
2018-12-06,2.53887341087957e-06
2018-12-07,2.34058217740862e-06
2018-12-10,1.70598390174952e-06
2018-12-11,1.983633085186e-06
2018-12-12,2.18194208446002e-06
2018-12-13,2.26126292046388e-06
2018-12-14,1.38864685422708e-06
2018-12-17,1.62665200932614e-06
2018-12-18,1.03161246012473e-06
2018-12-19,1.38864685405045e-06
2018-12-20,1.07128452849807e-06
2018-12-21,1.86464294711769e-06
2018-12-24,1.86464294719105e-06
2018-12-26,1.626817814589e-06
2018-12-27,1.03161246014088e-06
2018-12-28,1.19045840483993e-07
2019-01-02,3.57137564150027e-07
2019-01-03,1.19045840543912e-07
2019-01-04,-1.50822195109444e-06
2019-01-07,-3.96845160658176e-07
2019-01-08,4.76162020436543e-07
2019-01-09,1.26963894477119e-06
2019-01-10,9.52267138167972e-07
2019-01-11,6.74546067370762e-07
2019-01-14,6.74546067447435e-07
2019-01-15,5.15839620179474e-07
2019-01-16,3.96805635759975e-07
2019-01-17,2.38088123744663e-07
2019-01-18,6.34870048426843e-07
2019-01-21,3.17447670036952e-07
2019-01-22,1.19045840605071e-07
2019-01-23,1.98407757961794e-07
2019-01-24,4.36484025561637e-07
2019-01-25,-1.190493976491e-07
2019-01-28,7.93642889480637e-08
2019-01-29,3.5712685055621e-07
2019-01-30,1.9840775792258e-07
2019-01-31,1.98407758113652e-07
2019-02-01,-4.76218936594951e-07
2019-02-07,-1.54769622830544e-06
2019-02-08,-1.15095988568181e-06
2019-02-11,-1.15095988579306e-06
2019-02-12,-5.1590641745727e-07
2019-02-13,-2.38102352944402e-07
2019-02-14,-5.55594293631466e-07
2019-02-15,-8.33420498320301e-07
2019-02-18,-8.73111537841594e-07
2019-02-19,-1.11126607822312e-06
2019-02-20,-1.30973907073608e-06
2019-02-21,-1.5082219511831e-06
2019-02-22,-1.46852458392158e-06
2019-02-25,-1.38913103627229e-06
2019-02-26,-1.03187964962695e-06
2019-02-27,-9.92187028484556e-07
2019-02-28,-8.73111537680712e-07
2019-03-04,-1.19060509118727e-07
2019-03-05,3.96805635771353e-07
2019-03-06,-1.58733320955441e-07
2019-03-07,-2.77787461829048e-07
2019-03-08,-1.30973907072456e-06
2019-03-11,-1.30973907075579e-06
2019-03-12,-1.11126607826675e-06
2019-03-13,-1.66701537529961e-06
2019-03-14,-1.62731642579758e-06
2019-03-15,-1.34943485565646e-06
2019-03-18,-1.38913103631996e-06
2019-03-19,-1.58761787220135e-06
2019-03-20,-1.42882761222747e-06
2019-03-21,-1.42882761229637e-06
2019-03-22,-2.7390365645961e-06
2019-03-25,-3.3347285576337e-06
2019-03-26,-2.5802004078277e-06
2019-03-27,-2.65961769465301e-06
2019-03-28,-3.57303029589112e-06
2019-03-29,-3.21558303341542e-06
2019-04-01,-2.89787905411793e-06
2019-04-02,-2.46107744555988e-06
2019-04-03,-1.78611459685325e-06
2019-04-04,-1.7464144607423e-06
2019-04-05,-1.15095988569585e-06
2019-04-08,-1.78611459686739e-06
2019-04-09,-1.90521737914489e-06
2019-04-10,-2.10372992853708e-06
2019-04-11,-2.18313771807594e-06
2019-04-12,-2.22284220631831e-06
2019-04-15,-9.92187028524839e-07
2019-04-16,-8.73111537718362e-07
2019-04-17,-2.38102352895185e-07
2019-04-18,-1.0715726661244e-06
2019-04-19,-1.19065408884339e-06
2019-04-22,-1.23034868724372e-06
2019-04-23,-1.11126607825849e-06
2019-04-24,-1.46852458396617e-06
2019-04-25,-1.23034868722208e-06
2019-04-26,-1.58761787209741e-06
2019-04-29,-1.58761787207549e-06
2019-04-30,-1.58761787204957e-06
2019-05-02,-3.17523322347487e-06
2019-05-03,-1.58761787213266e-06
2019-05-07,-3.65164122245065e-06
2019-05-08,-1.94491909777796e-06
2019-05-09,-1.90521737901935e-06
2019-05-10,-1.94491909760779e-06
2019-05-13,-1.90521737922815e-06
2019-05-14,-1.98462121185739e-06
2019-05-15,-2.02432372180385e-06
2019-05-16,-2.42137058320815e-06
2019-05-17,-2.06402662747462e-06
2019-05-20,-1.70671472017544e-06
2019-05-21,-1.78611459688798e-06
2019-05-22,-2.22284220635104e-06
2019-05-23,-2.3419580451544e-06
2019-05-24,-2.77874659324959e-06
2019-05-27,-2.73903656470892e-06
2019-05-28,-2.8581678378595e-06
2019-05-29,-3.57303029594919e-06
2019-05-30,-3.13615466344635e-06
2019-05-31,-3.73190604068764e-06
2019-06-03,-3.69218651048818e-06
2019-06-04,-4.0496765380208e-06
2019-06-05,-4.8839447038707e-06
2019-06-07,-9.52948297939956e-06
2019-06-10,-4.7250230124054e-06
2019-06-11,-4.32774651644809e-06
2019-06-12,-4.40719864645149e-06
2019-06-13,-4.48665236112712e-06
2019-06-14,-5.12233912779062e-06
2019-06-17,-4.88394470398072e-06
2019-06-18,-4.92367611720824e-06
2019-06-19,-5.44022055112543e-06
2019-06-20,-6.55300531152677e-06
2019-06-21,-6.19529059871535e-06
2019-06-24,-6.11580280178445e-06
2019-06-25,-6.15554650201498e-06
2019-06-26,-5.40048398598155e-06
2019-06-27,-5.59917077458306e-06
2019-06-28,-6.27477998163285e-06
2019-07-01,-5.79786747210737e-06
2019-07-02,-5.79786747207605e-06
2019-07-03,-5.95683196536567e-06
2019-07-04,-6.15554650195309e-06
2019-07-05,-6.15554650212254e-06
2019-07-08,-5.75812733981819e-06
2019-07-09,-5.47995751228082e-06
2019-07-10,-4.68529358022758e-06
2019-07-11,-5.36074781758997e-06
2019-07-12,-4.52637981238241e-06
2019-07-15,-4.52637981252041e-06
2019-07-16,-4.72502301259512e-06
2019-07-17,-4.80448306587289e-06
2019-07-18,-5.16207291856976e-06
2019-07-19,-5.24154168942962e-06
2019-07-22,-5.40048398600772e-06
2019-07-23,-5.63890932146883e-06
2019-07-24,-5.83760800076923e-06
2019-07-25,-5.99657407981749e-06
2019-07-26,-5.8773489258974e-06
2019-07-29,-5.67864826443513e-06
2019-07-30,-5.95683196541448e-06
2019-07-31,-6.07605949805883e-06
2019-08-01,-5.16207291860628e-06
2019-08-02,-6.47351037758362e-06
2019-08-05,-7.5865838246602e-06
2019-08-06,-7.22877630189346e-06
2019-08-07,-7.58658382467278e-06
2019-08-08,-7.70586014053433e-06
2019-08-09,-8.62043054866948e-06
2019-08-12,-8.62043054891849e-06
2019-08-13,-9.25677729000323e-06
2019-08-14,-8.69996833335059e-06
2019-08-16,-1.83146014577982e-05
2019-08-19,-8.85904866587347e-06
2019-08-20,-9.25677729006727e-06
2019-08-21,-9.37610362007082e-06
2019-08-22,-9.37610362027029e-06
2019-08-23,-9.17722838863549e-06
2019-08-26,-1.04899884140059e-05
2019-08-27,-1.04899884137588e-05
2019-08-28,-1.09276712315576e-05
2019-08-29,-1.13256064319093e-05
2019-08-30,-1.06889291884182e-05
2019-09-02,-1.05695635316349e-05
2019-09-03,-1.12858111233414e-05
2019-09-04,-1.10072550918664e-05
2019-09-05,-1.03308429464906e-05
2019-09-06,-9.41587985785121e-06
2019-09-09,-9.97278888658648e-06
2019-09-10,-8.77950770561969e-06
2019-09-11,-7.90466193578116e-06
2019-09-16,-2.05735727720812e-05
2019-09-17,-6.03631659075707e-06
2019-09-18,-7.22877630192105e-06
2019-09-19,-8.42159303453524e-06
2019-09-20,-8.22276544358241e-06
2019-09-23,-8.22276544356533e-06
2019-09-24,-9.29655233621915e-06
2019-09-25,-1.01319200515533e-05
2019-09-26,-9.77388386817362e-06
2019-09-27,-9.33632777969195e-06
2019-09-30,-8.46135974342599e-06
2019-10-01,-5.91709024746869e-06
2019-10-02,-6.51325764645965e-06
2019-10-04,-1.61671411350587e-05
2019-10-07,-8.81927798719951e-06
2019-10-08,-7.98418543161184e-06
2019-10-10,-1.60080699385976e-05
2019-10-11,-7.10951426820985e-06
2019-10-14,-7.10951426837486e-06
2019-10-15,-6.71199993852775e-06
2019-10-16,-6.39401702957054e-06
2019-10-17,-5.99657407976413e-06
2019-10-18,-5.2018071058389e-06
2019-10-21,-4.96340792698439e-06
2019-10-22,-4.96340792679706e-06
2019-10-23,-5.36074781752382e-06
2019-10-24,-5.51969487012053e-06
2019-10-25,-5.40048398610593e-06
2019-10-28,-4.84421368669699e-06
2019-10-29,-4.04967653826177e-06
2019-10-30,-4.32774651624529e-06
2019-10-31,-5.28127666912591e-06
2019-11-01,-6.99025580480451e-06
2019-11-04,-6.99025580467621e-06
2019-11-05,-4.84421368670098e-06
2019-11-06,-3.13615466352942e-06
2019-11-07,-2.54049235781618e-06
2019-11-08,-1.98462121200342e-06
2019-11-11,-2.50078470398522e-06
2019-11-12,-7.93729854260566e-07
2019-11-13,-1.6670153752989e-06
2019-11-14,-2.65961769450462e-06
2019-11-15,-2.69932693175414e-06
2019-11-18,-3.05672787671228e-06
2019-11-19,-3.17586865050136e-06
2019-11-20,-4.20857129196052e-06
2019-11-21,-4.16884700951935e-06
2019-11-22,-2.93759066605443e-06
